,tempK,humidity,wind speed,clouds,lat,lon
vaini,300.15,65.0,3.1,20.0,-21.2,-175.2
rikitea,299.01,77.0,3.22,91.0,-23.12,-134.97
punta arenas,278.92,81.0,4.6,75.0,-53.15,-70.92
ushuaia,278.15,75.0,9.3,40.0,-54.8,-68.3
hermanus,289.82,95.0,4.02,100.0,-34.42,19.23
bredasdorp,292.15,68.0,6.2,100.0,-34.53,20.04
kruisfontein,289.17,54.0,3.72,100.0,-34.0,24.73
port elizabeth,292.15,52.0,2.6,60.0,-33.92,25.57
port alfred,292.59,80.0,2.68,37.0,-33.59,26.89
east london,297.65,57.0,3.89,100.0,-33.02,27.91
busselton,296.23,54.0,4.46,75.0,-33.65,115.33
albany,296.15,78.0,5.7,75.0,-35.02,117.89
new norfolk,286.86,54.0,5.1,75.0,-42.78,147.06
hobart,286.98,58.0,6.7,75.0,-42.88,147.33
bluff,294.82,48.0,5.81,20.0,-46.6,168.33
cape town,291.05,93.0,9.3,75.0,-33.93,18.42
mar del plata,288.29,82.0,2.1,100.0,-38.0,-57.56
chuy,289.16,79.0,2.71,0.0,-33.7,-53.46
saint-philippe,294.01,69.0,3.1,22.0,-21.36,55.77
cidreira,291.16,71.0,1.45,23.0,-30.18,-50.21
castro,277.15,100.0,2.1,7.0,-42.47,-73.77
arraial do cabo,295.6,76.0,2.6,79.0,-22.97,-42.03
mahebourg,298.37,78.0,6.7,40.0,-20.41,57.7
mount gambier,287.15,58.0,3.1,90.0,-37.83,140.77
tuatapere,294.82,48.0,5.81,32.0,-46.13,167.68
coihaique,281.15,61.0,2.1,100.0,-45.58,-72.07
rio gallegos,281.15,70.0,7.7,75.0,-51.62,-69.22
rawson,285.83,40.0,2.47,0.0,-43.3,-65.1
rocha,286.19,86.0,1.98,0.0,-34.48,-54.33
kaitangata,289.82,68.0,0.45,86.0,-46.28,169.85
avarua,302.15,83.0,3.1,100.0,-21.21,-159.78
viedma,284.58,55.0,2.32,100.0,-40.81,-63.0
laguna,290.32,80.0,1.23,22.0,-28.48,-48.78
jamestown,294.46,72.0,7.67,40.0,-15.94,-5.72
souillac,298.41,78.0,6.7,40.0,-20.52,57.52
port lincoln,288.52,57.0,3.41,100.0,-34.73,135.87
portland,287.38,61.0,4.67,98.0,-38.33,141.6
te anau,286.7,75.0,1.66,80.0,-45.42,167.72
ranfurly,288.71,87.0,6.16,34.0,-45.13,170.1
ancud,277.15,100.0,2.1,0.0,-41.87,-73.82
san carlos de bariloche,277.15,64.0,2.6,0.0,-41.15,-71.31
tres arroyos,288.69,59.0,0.68,100.0,-38.37,-60.28
saldanha,289.15,93.0,7.7,100.0,-33.01,17.94
margate,297.02,52.0,4.5,1.0,-30.86,30.37
lakes entrance,286.48,73.0,1.79,56.0,-37.88,147.98
westport,290.42,70.0,10.37,96.0,-41.75,171.6
lebu,284.18,74.0,6.04,0.0,-37.62,-73.65
rengo,288.15,77.0,1.0,90.0,-34.42,-70.87
chivilcoy,289.26,70.0,1.34,52.0,-34.9,-60.02
rio grande,287.04,95.0,3.39,0.0,-32.03,-52.1
luderitz,287.15,87.0,1.5,0.0,-26.65,15.16
richards bay,294.08,86.0,5.52,1.0,-28.78,32.04
bambous virieux,298.42,78.0,6.7,40.0,-20.34,57.76
flinders,292.37,32.0,2.6,0.0,-34.58,150.86
murray bridge,288.96,58.0,0.45,45.0,-35.12,139.27
goulburn,288.44,51.0,2.66,0.0,-34.75,149.72
port macquarie,294.44,37.0,3.6,0.0,-31.43,152.92
ahipara,293.65,73.0,8.98,79.0,-35.17,173.17
coquimbo,288.15,87.0,2.6,76.0,-29.95,-71.34
vicuna,288.15,87.0,2.6,100.0,-30.03,-70.71
reconquista,288.39,69.0,2.37,2.0,-29.15,-59.65
tramandai,291.43,72.0,1.12,9.0,-29.98,-50.13
sao joao da barra,295.1,87.0,5.44,100.0,-21.64,-41.05
calvinia,286.33,64.0,5.21,95.0,-31.47,19.78
richmond,294.26,73.0,2.64,0.0,-29.87,30.27
beloha,294.99,73.0,3.05,100.0,-25.17,45.05
carnarvon,301.15,61.0,8.2,7.0,-24.87,113.63
geraldton,298.55,83.0,3.6,40.0,-28.77,114.6
northam,298.15,78.0,2.1,90.0,-31.67,116.67
yulara,302.15,20.0,2.6,60.0,-25.24,130.99
broken hill,287.15,44.0,5.7,0.0,-31.95,141.43
narrabri,291.86,42.0,3.6,0.0,-30.32,149.78
byron bay,295.75,53.0,7.7,40.0,-28.65,153.62
alofi,302.15,70.0,5.7,99.0,-19.06,-169.92
puerto ayora,299.26,87.0,0.89,53.0,-0.74,-90.35
taltal,289.53,78.0,0.71,7.0,-25.4,-70.48
presidencia roque saenz pena,287.77,62.0,1.77,0.0,-26.79,-60.44
carambei,284.96,74.0,2.53,24.0,-24.92,-50.1
vila velha,297.56,78.0,2.6,90.0,-20.33,-40.29
walvis bay,291.88,68.0,1.5,1.0,-22.96,14.51
aranos,293.77,40.0,3.2,0.0,-24.13,19.12
lydenburg,286.02,90.0,0.89,0.0,-25.1,30.46
vangaindrano,294.2,92.0,0.55,100.0,-23.35,47.6
port hedland,305.15,49.0,4.6,20.0,-20.32,118.57
mount isa,302.15,12.0,5.7,1.0,-20.73,139.5
biloela,302.27,23.0,3.49,0.0,-24.42,150.5
koumac,300.09,67.0,3.73,79.0,-20.57,164.28
vao,298.14,75.0,5.69,13.0,-22.67,167.48
teahupoo,304.15,62.0,3.6,100.0,-17.83,-149.27
pisco,296.3,78.0,3.6,75.0,-13.7,-76.22
iquique,295.15,64.0,5.7,90.0,-20.22,-70.14
mayor pablo lagerenza,292.88,42.0,0.87,0.0,-19.93,-60.77
cardoso,292.74,68.0,2.19,0.0,-20.08,-49.91
serra,297.6,78.0,2.6,90.0,-20.13,-40.31
caravelas,298.71,86.0,2.24,3.0,-17.71,-39.25
georgetown,300.44,82.0,8.63,18.0,-7.93,-14.42
opuwo,292.33,60.0,2.19,10.0,-18.06,13.84
grootfontein,288.95,55.0,0.77,66.0,-19.57,18.12
shurugwi,286.04,53.0,1.35,100.0,-19.67,30.01
mocuba,291.1,91.0,0.8,20.0,-16.84,36.99
mahanoro,296.06,85.0,3.07,70.0,-19.9,48.8
hithadhoo,302.32,67.0,3.53,15.0,-0.6,73.08
bengkulu,304.28,62.0,1.71,45.0,-3.8,102.27
kununurra,304.15,55.0,2.6,100.0,-15.77,128.73
mackay,303.44,62.0,4.1,0.0,-21.15,149.2
poum,299.7,72.0,4.88,87.0,-20.23,164.02
isangel,299.28,62.0,1.98,20.0,-19.55,169.27
fare,301.73,70.0,4.9,60.0,-16.7,-151.02
atuona,301.46,65.0,2.42,44.0,-9.8,-139.03
huarmey,297.11,72.0,3.19,0.0,-10.07,-78.15
azangaro,277.86,17.0,1.25,0.0,-14.92,-70.22
pontes e lacerda,295.48,81.0,0.88,4.0,-15.23,-59.34
rubiataba,293.27,78.0,1.04,1.0,-15.16,-49.8
